model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_first_frame_ratio,std_first_frame_ratio,mean_other_frame_avg_ratio,std_other_frame_avg_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_frame_ratio_variance,std_frame_ratio_variance,mean_video_attention_mass,std_video_attention_mass
OneThinker,/data1/liugengyuan/models/OneThinker,0.0,280.0,6001.0,1.9492176111893738,0.054829475805713825,0.9375901993978009,0.026109608459175617,0.0771402779627046,0.031050339309945458,0.0771402779627046,0.031050339309945458,0.13191566013462377,0.004627909173365421,0.2571588956516572,0.04360579778739714,0.004483499891316999,0.0020856919215498215,0.13021452597353345,0.04191741066490055
OneThinker,/data1/liugengyuan/models/OneThinker,1.0,280.0,6001.0,2.0088606863520275,0.029728511623368464,0.9662805245073547,0.013883054310280257,0.0898490877425997,0.024591887200961133,0.0898490877425997,0.024591887200961133,0.13009751961172136,0.0036857075814361855,0.22479692081371644,0.031037432000449176,0.002405684852534045,0.0011319069204356936,0.10855862692866923,0.03693122531319439
OneThinker,/data1/liugengyuan/models/OneThinker,2.0,280.0,6001.0,2.030731727732251,0.038358318174999684,0.9768001539637311,0.01809324539988475,0.18435598650330678,0.043729517163433845,0.18435598650330678,0.043729517163433845,0.1165866094797604,0.006285244808508819,0.20361470882427474,0.037015777215122114,0.0016747010391183054,0.0015221027936409164,0.11288404057890096,0.03953307028909483
OneThinker,/data1/liugengyuan/models/OneThinker,3.0,280.0,6001.0,2.000316307648284,0.055849413616549284,0.9621667148205428,0.02651131823498919,0.2122286916869168,0.05761145840982521,0.2122286916869168,0.05761145840982521,0.11259987157229139,0.0082201603006812,0.23074500951370344,0.046999630450692186,0.002852015285035629,0.002513219169133169,0.05800561374253217,0.016840118705614384
OneThinker,/data1/liugengyuan/models/OneThinker,4.0,280.0,6001.0,2.0118310468834784,0.0424447964148616,0.9677035516886251,0.01986742270236175,0.20138328882691148,0.05406291078493364,0.20138328882691148,0.05406291078493364,0.11414658500880824,0.007664846836628934,0.22231391472749926,0.04143667789761029,0.002373250321531223,0.0017588364718657344,0.04711728995192103,0.01429176193119551
OneThinker,/data1/liugengyuan/models/OneThinker,5.0,280.0,6001.0,2.0155081704955844,0.04177580513493135,0.9694740238535514,0.019613095573265384,0.1951514613797978,0.052982480517361916,0.1951514613797978,0.052982480517361916,0.11503848230831802,0.00752431836390269,0.22054574530594936,0.04171228075598059,0.002255127069851774,0.0017295549727001033,0.05184092874616988,0.014092921134439607
OneThinker,/data1/liugengyuan/models/OneThinker,6.0,280.0,6001.0,2.0241433160388307,0.03808593281766597,0.9736247553634452,0.01764650473972196,0.1890675081991993,0.042963569653704826,0.1890675081991993,0.042963569653704826,0.11590639477563605,0.006053640955027289,0.20836358161980592,0.03591120328472588,0.0018935914610667146,0.0014998149362768184,0.06330156224588764,0.020254336871443897
OneThinker,/data1/liugengyuan/models/OneThinker,7.0,280.0,6001.0,1.9921798367984624,0.05383713347234661,0.95824931007113,0.02540879465188352,0.19546192352947114,0.0631876803420249,0.19546192352947114,0.0631876803420249,0.11499035811929671,0.008948953156499441,0.23274997787983845,0.04808014631331604,0.0030858315098640696,0.0021534301507833004,0.02451251489485096,0.010838046281529469
OneThinker,/data1/liugengyuan/models/OneThinker,8.0,280.0,6001.0,1.9556413689116405,0.061016732571713125,0.9406681570138063,0.028769103768108036,0.2659757312719827,0.06594612080305487,0.2659757312719827,0.06594612080305487,0.10491082464433078,0.009348629985727575,0.2777253137015049,0.05412517865322714,0.004698668778871779,0.002642061026295649,0.04018269380061141,0.014414761553299266
OneThinker,/data1/liugengyuan/models/OneThinker,9.0,280.0,6001.0,1.9432719846421995,0.0698422391953833,0.9347255086310826,0.03326369428883771,0.27296321786620154,0.0697367006815193,0.27296321786620154,0.0697367006815193,0.10391538015667458,0.009922590171780397,0.28813319368075124,0.055419608153360334,0.005249801612250333,0.0030012358430511546,0.03612115715405557,0.013457654559621961
OneThinker,/data1/liugengyuan/models/OneThinker,10.0,280.0,6001.0,1.9510205084952255,0.05246978910168794,0.9384546789617633,0.024867949380873146,0.22616332578661688,0.05326352490888923,0.22616332578661688,0.05326352490888923,0.11060632851705046,0.007573767596535684,0.2596823367803318,0.040269865470665675,0.0045590254418445015,0.002119975103531221,0.044514151764080266,0.013698117688939613
OneThinker,/data1/liugengyuan/models/OneThinker,11.0,280.0,6001.0,1.9539858057062207,0.06222976574505049,0.9398810163707464,0.02961864072917947,0.22628132962346947,0.06298128153941303,0.22628132962346947,0.06298128153941303,0.11058800125199313,0.008951402021238921,0.2599391913585131,0.046756795195679254,0.0044916683129004546,0.002612757409392194,0.030083575977396367,0.009487323545211751
OneThinker,/data1/liugengyuan/models/OneThinker,12.0,280.0,6001.0,1.9088613555283611,0.07835127095465692,0.9181811819813437,0.03756842107040857,0.2953379245397509,0.0674092316902273,0.2953379245397509,0.0674092316902273,0.10072221116336663,0.009639123231270731,0.30698400604155907,0.056428130702521145,0.006555137174206709,0.0034541187855104947,0.049496457774086886,0.013533828833474794
OneThinker,/data1/liugengyuan/models/OneThinker,13.0,280.0,6001.0,1.945433007556429,0.09426588535896518,0.9357766010670918,0.04531939915302354,0.24660992344177776,0.07308474455797262,0.24660992344177776,0.07308474455797262,0.10768829901307321,0.010461851840125823,0.27494006525297354,0.06384457005373015,0.005116248949522638,0.004256392985155812,0.052181189468209134,0.02232003855945516
OneThinker,/data1/liugengyuan/models/OneThinker,14.0,280.0,6001.0,1.9881594981286825,0.06246409136693567,0.9563245572395902,0.029893884924966238,0.1678305525721901,0.04462152467940919,0.1678305525721901,0.04462152467940919,0.11894664102984202,0.006373550375772008,0.23486891377528205,0.04624836095311597,0.0032142010440430486,0.0026291922867323586,0.04222794455358911,0.012892593998335977
OneThinker,/data1/liugengyuan/models/OneThinker,15.0,280.0,6001.0,1.9913996683986828,0.07972451508492195,0.9578839389116496,0.03824546893797346,0.16689576232964265,0.04332021399583444,0.16689576232964265,0.04332021399583444,0.11908050342012437,0.006192376753345869,0.2269320695163721,0.05673878306917667,0.003183990951194124,0.0035428783330237485,0.05119833264728042,0.01717763116195698
OneThinker,/data1/liugengyuan/models/OneThinker,16.0,280.0,6001.0,1.9783983966024294,0.06838926082672962,0.9516290459034517,0.03274817120421338,0.17754208511509667,0.04246161597965583,0.17754208511509667,0.04246161597965583,0.11755884071219229,0.006071239545428612,0.23854570062835692,0.050465655823261533,0.003578618279071941,0.0029976968601551817,0.049656067952670226,0.015874993380826204
OneThinker,/data1/liugengyuan/models/OneThinker,17.0,280.0,6001.0,1.832294936279435,0.11178467693515169,0.8813492088931069,0.053642780815256905,0.34061341721970606,0.08914769621962924,0.34061341721970606,0.08914769621962924,0.09424715001160071,0.012716380962146308,0.3616727197559274,0.06886211426806597,0.010506469685858836,0.005628568937606183,0.0792290347672897,0.027439560934338088
OneThinker,/data1/liugengyuan/models/OneThinker,18.0,280.0,6001.0,1.8677166277280406,0.12037696712987772,0.8983752127417027,0.057613845609388106,0.3063627374234869,0.0849659310992051,0.3063627374234869,0.0849659310992051,0.0991365992312334,0.012077035091788774,0.33151453598192304,0.07091657328369723,0.0087551420419639,0.006064616489772787,0.14197931317602835,0.04671065471664257
OneThinker,/data1/liugengyuan/models/OneThinker,19.0,280.0,6001.0,1.6952263153631215,0.16636395890471806,0.8154088151299062,0.07985522882159647,0.402826059143125,0.12900443977976947,0.402826059143125,0.12900443977976947,0.08535025800275144,0.01840098875364839,0.4420244802382853,0.08656933882289275,0.017349066796290835,0.009073757714504615,0.07549534248111708,0.02109746944222767
OneThinker,/data1/liugengyuan/models/OneThinker,20.0,280.0,6001.0,1.6288530264485372,0.19199636621706506,0.7834922044108724,0.09228022662019317,0.43683866092365636,0.13791655310597362,0.43683866092365636,0.13791655310597362,0.08049146946537215,0.0196862762775482,0.4783134111673259,0.09288617354189525,0.021171191476962274,0.01035866733235415,0.06954192905912741,0.027593138723571303
OneThinker,/data1/liugengyuan/models/OneThinker,21.0,280.0,6001.0,1.6427482625918859,0.17596198047891237,0.7901569128099138,0.08441580718797294,0.43390759510364263,0.13881188655695068,0.43390759510364263,0.13881188655695068,0.08090392756259542,0.019796761516718584,0.47508491604933767,0.09166692796996433,0.020660865400956654,0.00965669778106776,0.08104465547787255,0.02869710521298361
OneThinker,/data1/liugengyuan/models/OneThinker,22.0,280.0,6001.0,1.3060902053760062,0.1767095245741883,0.6282246594381586,0.08484691417548611,0.579728355462938,0.1793093347943927,0.579728355462938,0.1793093347943927,0.060062594399242566,0.025600051986927178,0.6357964687869248,0.07801007240572458,0.039403409100532284,0.010471335363609688,0.04624814641101724,0.015830371081740954
