model,model_path,layer,num_cases,num_response_tokens,mean_entropy,std_entropy,mean_normalized_entropy,std_normalized_entropy,mean_sink_ratio,std_sink_ratio,mean_max_frame_ratio,std_max_frame_ratio,mean_video_attention_mass,std_video_attention_mass
Video-KTR,/data1/liugengyuan/models/Video-KTR,18.0,100.0,100.0,2.07654926776886,0.0022093569511836054,0.9986091202497482,0.001062475292444249,0.07533621611073613,0.03448468666766728,0.28607998743653296,0.0671860719183487,0.06931345658376813,0.02416506651098228
Video-KTR,/data1/liugengyuan/models/Video-KTR,19.0,100.0,100.0,2.07675076007843,0.00202802890740676,0.9987060135602951,0.0009752760439323155,0.11299674097448588,0.04393869585264614,0.2819232887029648,0.07133529860506424,0.09447957653552294,0.027088729220332113
Video-KTR,/data1/liugengyuan/models/Video-KTR,20.0,100.0,100.0,2.0776950526237488,0.0012994427364814043,0.999160121679306,0.0006248975179488217,0.13439217075705528,0.04029129862431865,0.24959912583231925,0.05414833759774946,0.07670237958431243,0.021623963902789017
Video-KTR,/data1/liugengyuan/models/Video-KTR,21.0,100.0,100.0,2.0723872876167295,0.004184663192260768,0.9966076320409775,0.0020123961214671107,0.12940294045954942,0.0433320204090301,0.38922365128993985,0.09401687694322236,0.11799203887581826,0.036224744729857414
Video-KTR,/data1/liugengyuan/models/Video-KTR,22.0,100.0,100.0,2.0777848958969116,0.0013939828112799584,0.999203332066536,0.0006703650594015502,0.1795857821404934,0.04490908486830701,0.23284914955496788,0.05701301599263684,0.1079482901841402,0.03039027639236021
Video-KTR,/data1/liugengyuan/models/Video-KTR,23.0,100.0,100.0,2.0765394043922423,0.002508992556791071,0.998604371547699,0.0012065704980974681,0.1236013738065958,0.04137654823397525,0.2846298575401306,0.07482781673085942,0.06594782399013638,0.025771055477491527
Video-KTR,/data1/liugengyuan/models/Video-KTR,24.0,100.0,100.0,2.06777081489563,0.0068782335851723855,0.994387571811676,0.0033077289603309183,0.10139659710228444,0.033044591838905325,0.46584955632686614,0.11081568717649515,0.13378925193101168,0.051412199646173044
Video-KTR,/data1/liugengyuan/models/Video-KTR,25.0,100.0,100.0,2.0778790140151977,0.001035715305382783,0.9992485922574997,0.0004980763992600522,0.14709877207875252,0.03216819151550485,0.23840330451726913,0.049271281190636985,0.1130355991050601,0.032950322741680554
Video-KTR,/data1/liugengyuan/models/Video-KTR,26.0,100.0,100.0,2.078150699138641,0.0011261444273570527,0.9993792456388474,0.0005415636854195141,0.11970653980970383,0.03711269912840418,0.224389209151268,0.051356100540875735,0.12720210935920476,0.05577968291156761
Video-KTR,/data1/liugengyuan/models/Video-KTR,27.0,100.0,100.0,2.0784012293815612,0.0008856100191894979,0.9994997215270996,0.00042588533970000725,0.15068997621536254,0.03912137266869268,0.20907560378313064,0.044864757478362355,0.20745862141251564,0.0737814333813738
